"Part";"Value";"Device";"Package";"Description";"DATASHEET";"MOUSER";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"URL";"VALUE";
"C1";"100nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C3";"10uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C4";"100nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C5";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C6";"100nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C7";"100nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C8";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C9";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C10";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"C11";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"J1";"FTDI_DEVICE";"FTDI_DEVICE";"FTDI_DEVICE_SIDE";"Connector which mates to FTDI basic or FTDI cable.";"";"";"";"";"";"";"";"";"";"";
"LED1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";
"M1";"WIRELESS-NRF24L01";"WIRELESS-NRF24L01";"WIRELESS-NRF24L01";"2.4 GHz Wireless Module based on NRF24L01 chip";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R3";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R4";"5k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R5";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R6";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R7";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R8";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"R10";"200";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"RES1";"CSTCE-RESONATOR";"CSTCE-RESONATOR";"CSTCE16M0V53-R0";"Murata Electronics Resonator";"";"";"";"";"";"";"";"";"";"";
"RESET";"SKHMPWE010";"SKHMPWE010";"SKHMPXE010";"6.2 X 6.5mm TACT Switch (SMD)";"";"";"";"";"";"";"";"";"";"";
"U$3";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"DB2W40300L";"DB2W40300L";"MINI2-F3-B";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"DB2W40300L";"DB2W40300L";"MINI2-F3-B";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"DB2W40300L";"DB2W40300L";"MINI2-F3-B";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"DB2W40300L";"DB2W40300L";"MINI2-F3-B";"";"";"";"";"";"";"";"";"";"";"";
"U$10";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"";"";"";"";"";"";"";"";"";"";"";
"U$11";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"";"";"";"";"";"";"";"";"";"";"";
"U$12";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"";"";"";"";"";"";"";"";"";"";"";
"U$13";"N-CHANNEL-MOSFET-IRLML6244TRPBF";"N-CHANNEL-MOSFET-IRLML6244TRPBF";"SOT23-3";"N-Channel MOSFET Mode Field Effect Transistor";"http://www.mouser.com/ds/2/196/irlml6244pbf-936666.pdf";"942-IRLML6244TRPBF";"";"";"";"";"";"";"http://www.mouser.com/Search/ProductDetail.aspx?R=IRLML6244TRPBFvirtualkey57370000virtualkey942-IRLML6244TRPBF";"";
"U$14";"N-CHANNEL-MOSFET-IRLML6244TRPBF";"N-CHANNEL-MOSFET-IRLML6244TRPBF";"SOT23-3";"N-Channel MOSFET Mode Field Effect Transistor";"http://www.mouser.com/ds/2/196/irlml6244pbf-936666.pdf";"942-IRLML6244TRPBF";"";"";"";"";"";"";"http://www.mouser.com/Search/ProductDetail.aspx?R=IRLML6244TRPBFvirtualkey57370000virtualkey942-IRLML6244TRPBF";"";
"U$15";"N-CHANNEL-MOSFET-IRLML6244TRPBF";"N-CHANNEL-MOSFET-IRLML6244TRPBF";"SOT23-3";"N-Channel MOSFET Mode Field Effect Transistor";"http://www.mouser.com/ds/2/196/irlml6244pbf-936666.pdf";"942-IRLML6244TRPBF";"";"";"";"";"";"";"http://www.mouser.com/Search/ProductDetail.aspx?R=IRLML6244TRPBFvirtualkey57370000virtualkey942-IRLML6244TRPBF";"";
"U$16";"N-CHANNEL-MOSFET-IRLML6244TRPBF";"N-CHANNEL-MOSFET-IRLML6244TRPBF";"SOT23-3";"N-Channel MOSFET Mode Field Effect Transistor";"http://www.mouser.com/ds/2/196/irlml6244pbf-936666.pdf";"942-IRLML6244TRPBF";"";"";"";"";"";"";"http://www.mouser.com/Search/ProductDetail.aspx?R=IRLML6244TRPBFvirtualkey57370000virtualkey942-IRLML6244TRPBF";"";
"U$17";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"JST_CONNECTOR_FEMALE";"";"";"";"";"";"";"";"";"";"";"";
"U$18";"MCP1802T-3002I/OT";"MCP1802T-3002I/OT";"SOT95P270X145-5N";"Low Quiescent Current LDO";"";"";"MCP1802T-3002I/OT";"1578373";"54M4837";"SOT-5";"";"Microchip";"";"";
"U1";"GY-521MPU6050";"GY-521MPU6050";"GY-521";"";"";"";"";"";"";"";"";"";"";"";
"U2";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"";"";"";"";"";"";"";"IC-09069";"";"";"ATMEGA328P_TQFP";
